symbol,security_id,exchange,segment,instrument
SHRIRAMFIN FEB FUT,59468,NSE,D,FUTSTK
SHRIRAMFIN MAR FUT,52033,NSE,D,FUTSTK
SIEMENS APR FUT,67012,NSE,D,FUTSTK
SIEMENS FEB FUT,59469,NSE,D,FUTSTK
SIEMENS MAR FUT,52034,NSE,D,FUTSTK
SILVER MAR FUT,451666,MCX,M,FUTCOM
SILVER MAY FUT,457532,MCX,M,FUTCOM
SILVER SEP FUT,471725,MCX,M,FUTCOM
SILVERM APR FUT,457533,MCX,M,FUTCOM
SILVERM FEB FUT,451669,MCX,M,FUTCOM
SILVERM JUN FUT,464151,MCX,M,FUTCOM
SOLARINDS APR FUT,67013,NSE,D,FUTSTK
SOLARINDS FEB FUT,59470,NSE,D,FUTSTK
SOLARINDS MAR FUT,52035,NSE,D,FUTSTK
SONACOMS APR FUT,67014,NSE,D,FUTSTK
SONACOMS FEB FUT,59471,NSE,D,FUTSTK
SONACOMS MAR FUT,52036,NSE,D,FUTSTK
SRF APR FUT,67015,NSE,D,FUTSTK
SRF FEB FUT,59472,NSE,D,FUTSTK
SRF MAR FUT,52037,NSE,D,FUTSTK
SUNPHARMA APR FUT,67016,NSE,D,FUTSTK
SUNPHARMA FEB FUT,59473,NSE,D,FUTSTK
SUNPHARMA MAR FUT,52038,NSE,D,FUTSTK
SUPREMEIND APR FUT,67017,NSE,D,FUTSTK
SUPREMEIND FEB FUT,59474,NSE,D,FUTSTK
SUPREMEIND MAR FUT,52039,NSE,D,FUTSTK
SUZLON APR FUT,67018,NSE,D,FUTSTK
SUZLON FEB FUT,59475,NSE,D,FUTSTK
SUZLON MAR FUT,52040,NSE,D,FUTSTK
SWIGGY APR FUT,67019,NSE,D,FUTSTK
SWIGGY FEB FUT,52045,NSE,D,FUTSTK
SWIGGY MAR FUT,52046,NSE,D,FUTSTK
SYNGENE FEB FUT,59476,NSE,D,FUTSTK
SYNGENE MAR FUT,52047,NSE,D,FUTSTK
TATACONSUM APR FUT,67020,NSE,D,FUTSTK
TATACONSUM FEB FUT,59481,NSE,D,FUTSTK
TATACONSUM MAR FUT,52049,NSE,D,FUTSTK
TATAELXSI APR FUT,67021,NSE,D,FUTSTK
TATAELXSI FEB FUT,59482,NSE,D,FUTSTK
TATAELXSI MAR FUT,52050,NSE,D,FUTSTK
TATAPOWER APR FUT,67022,NSE,D,FUTSTK
TATAPOWER FEB FUT,59483,NSE,D,FUTSTK
TATAPOWER MAR FUT,52051,NSE,D,FUTSTK
TATASTEEL APR FUT,67023,NSE,D,FUTSTK
TATASTEEL FEB FUT,59484,NSE,D,FUTSTK
TATASTEEL MAR FUT,52052,NSE,D,FUTSTK
TATATECH APR FUT,67024,NSE,D,FUTSTK
TATATECH FEB FUT,59486,NSE,D,FUTSTK
TATATECH MAR FUT,52053,NSE,D,FUTSTK
TCS APR FUT,67025,NSE,D,FUTSTK
TCS FEB FUT,59489,NSE,D,FUTSTK
TCS MAR FUT,52054,NSE,D,FUTSTK
TECHM APR FUT,67026,NSE,D,FUTSTK
TECHM FEB FUT,59490,NSE,D,FUTSTK
TECHM MAR FUT,52055,NSE,D,FUTSTK
TIINDIA APR FUT,67027,NSE,D,FUTSTK
TIINDIA FEB FUT,59491,NSE,D,FUTSTK
TIINDIA MAR FUT,52056,NSE,D,FUTSTK
TITAN APR FUT,67028,NSE,D,FUTSTK
TITAN FEB FUT,59492,NSE,D,FUTSTK
TITAN MAR FUT,52057,NSE,D,FUTSTK
TMPV APR FUT,67029,NSE,D,FUTSTK
